,AST,FG2A,FG2M,FG2_PCT,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FREQUENCY,G,PASS,PASS_TEAMMATE_PLAYER_ID,PASS_TO,PASS_TYPE,PLAYER_ID,PLAYER_NAME_LAST_FIRST,Playoff,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,Name,ID
60,0.62,0.58,0.39,0.674,0.51,0.24,0.475,1.09,0.63,0.581,0.097,79,5.09,2738,"Iguodala, Andre",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,60
61,0.14,0.27,0.2,0.762,0.01,0.01,1.0,0.28,0.22,0.773,0.037,79,1.91,2733,"Livingston, Shaun",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,61
62,0.66,1.15,0.72,0.626,0.0,0.0,,1.15,0.72,0.626,0.099,79,5.18,2585,"Pachulia, Zaza",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,62
63,0.11,0.2,0.11,0.563,0.01,0.01,1.0,0.22,0.13,0.588,0.018,79,0.94,2561,"West, David",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,63
64,0.15,0.14,0.1,0.727,0.11,0.06,0.556,0.25,0.16,0.65,0.02,79,1.05,2440,"Barnes, Matt",made,201939,"Curry, Stephen",,GSW,1610612744,Golden State Warriors,Stephen Curry,64
65,0.29,0.41,0.24,0.571,0.06,0.06,1.0,0.47,0.29,0.625,0.045,17,2.35,1627775,"McCaw, Patrick",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,65
66,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.001,17,0.06,203949,"McAdoo, James Michael",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,66
67,0.12,0.06,0.06,1.0,0.12,0.06,0.5,0.18,0.12,0.667,0.011,17,0.59,203546,"Clark, Ian",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,67
68,0.94,1.0,0.35,0.353,1.12,0.65,0.579,2.12,1.0,0.472,0.255,17,13.35,203110,"Green, Draymond",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,68
69,1.18,1.24,0.59,0.476,1.65,0.82,0.5,2.88,1.41,0.49,0.134,17,7.0,202691,"Thompson, Klay",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,69
70,0.41,0.59,0.41,0.7,0.0,0.0,,0.59,0.41,0.7,0.038,17,2.0,201580,"McGee, JaVale",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,70
71,1.94,3.0,1.94,0.647,1.82,0.82,0.452,4.82,2.76,0.573,0.205,17,10.76,201142,"Durant, Kevin",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,71
72,0.76,0.94,0.71,0.75,0.71,0.24,0.333,1.65,0.94,0.571,0.135,17,7.06,2738,"Iguodala, Andre",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,72
73,0.24,0.71,0.35,0.5,0.0,0.0,,0.71,0.35,0.5,0.062,17,3.24,2733,"Livingston, Shaun",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,73
74,0.59,1.24,0.59,0.476,0.0,0.0,,1.24,0.59,0.476,0.083,17,4.35,2585,"Pachulia, Zaza",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,74
75,0.24,0.29,0.24,0.8,0.0,0.0,,0.29,0.24,0.8,0.025,17,1.29,2561,"West, David",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,75
76,0.06,0.12,0.06,0.5,0.06,0.0,0.0,0.18,0.06,0.333,0.007,17,0.35,2440,"Barnes, Matt",made,201939,"Curry, Stephen",Yes,GSW,1610612744,Golden State Warriors,Stephen Curry,76
